"","reviewRating","reviewDate","reviewFormat","Verified_Purchase","reviewHeadline","reviewText"
"11",1,"April 2, 2018","Color: Black",TRUE,"Poor manufacturing materials
            ","They have been working great since I acquired them in Nov.28, but, today, suddenly, I was not able to volume up; I noticed that the button was jam, and when I apply enough force by pressing, it sounded like something is broken and bounces insided the speaker.  Now, cannot volumen up and can't hear anything in wireless mode... what a shame since they are not cheap...
            "
"12",5,"June 18, 2018","Color: White",TRUE,"Beyond impressed... a must buy
            ","I bought these as a gift for my wife. SHE ABSOLUTELY LOVES THEM. The sound quality is exquisite. I have heard notes in both the music and the artists voice that I haven't heard before. Best headset I have ever experienced. My wife enjoys making calls with these... no complaints from the folks on the other side about a bad connection, no cutting out, and they can hear my wife just fine.Note... my wife is VERY picky and sensitive about things around her ears. I literally could not tell you how many pairs of sunglasses she has gone through as 99% will end up squeezing her head and give her a headache.  So I was hopeful she would be able to use these and she has had them on for up to 6-8hrs straight while working around the house. No issues with squeezing her head.  These are so nice, she won't allow me to borrow them, ha ha ha.  Going to have to purchase a pair for myself.
            "
"13",2,"August 31, 2017","Color: Black",TRUE,"I mean...
            ","I bought these about 6 weeks ago. The other day, I noticed a static-like sound as I moved my head. That sound has turned into a full ""blown-speaker"" sound, though I suspect it's just a loose wire. Additionally, after upgrading the firmware to correct the poor bluetooth performance, trying to use these with my PC will freeze google hangouts and then crash my entire PC.It's too late to return them and get my money back. I don't even want to warranty them, I just want to take them out back and burn them.Why two stars, you ask? The comfort and sound are fantastic. The volume doesn't go loud enough, the battery life is really good. That's about all I have to say. Buy the Bose triports instead. GG.
            "
"14",1,"January 8, 2019","Color: Black",TRUE,"Two bad ones in a row... UPDATE: Now 3 bad ones in a row
            ","UPDATE: I just sent the third pair back, all with the same problem. Amazon says they are removing them from the store until they get answers from Bose. So far, they're still available for sale.I'm just now sending the second bad one of these back. I will try a third one but that's my limit. Same problem with both of them: the microphone does not work for placing phone calls... which is the primary reason I bought it. This new version was supposed to replace an older version (4 years) of the same headset that started about 6 months ago to drop the microphone input about 20 minutes into a phone call. Plus the rubber trim ring was starting to pull away from the earphone cups on both sides.I spent 20 minutes on the phone with Bose's Philippine tech support center but they could not get the mike to work, either.WTF, Bose? You used to make quality products.
            "
"15",4,"February 1, 2018","Color: Black",TRUE,"Swiss army knife of headphones. Light, comfortable, great battery life, amazing sound. Some mic/sound issues w/ bluetooth
            ","I absolutely love these headphones. I was hesitant to spend this much on headphones, but I'm so glad I did. They're great for work because you can be connected to multiple devices at once. Controls and switching between them is super simple. Sound is amazing, battery life is great, charges relatively quickly, and in a pinch, you have a cord that allows you to use the headphones without a charge. (Note, though that the mic doesn't work if you use the headphone jack to directly plug into a device.)The only reason I'm rating this a four is that after a couple months of use, I've had random issues with crunchy sounds from the bluetooth connection. More so annoying than impeding usage because it happens infrequently. Additionally, I've been told that my voice occasionally goes robotic, 8-bit like, when I'm on the phone or a web conference. Not always, but enough to have it be irritating that I'm having issues with something that cost so much. I've confirmed it's these headphones because the second I switch them off or switch headphones, my voice quality improves to those listening.All that to say. I've used other over ear headphones and these are just so freaking light and comfortable I don't like going a day without them. Great for
            "
"16",1,"December 24, 2018","Color: Black",TRUE,"Poor Bose Experience
            ","Loved Bose my entire life. I have bought many Bose products throughout my entire life, recommended Bose to everyone I know, and have had nothing but an amazing experience until today. I have owned these headphones for two years to the date and the right ear cup stopped working. Even being very meticulous about caring for them, they just stopped working.  After talking to Bose customer support, I'm unfortunately past the one year warranty.  To be fair, Bose has been great until now, but doesn't seem to be the same quality it use to be. Time to try a different product line.
            "
"17",5,"October 12, 2015","Color: Black",FALSE,"Beats v.s Bose
            ","I initially bought Beats Studio wireless and I couldn't wait to try them out.  I was debating between these Bose and the Beats studio for awhile.  I feel the Beats look better than Bose, but in my opinion looks are the only thing Beats do better than Bose.  Beats have quite a reputation of quality and performance, and when I first put them on and tried them out I thought ""huh, well maybe something is wrong with this pair"".  Then I thought ""maybe it really is only good for bass"",  so I played some bass heavy music, but was still very disappointed.  The sound was muddy and weak.  I returned them and bought the Bose.  There is not even a comparison between the two, the Bose sound crystal clear, and the highs-mids- and lows are head and shoulders above the Beats.  Songs that I've listened to hundreds of times sound brand new, and I can hear tones I've never heard before.  These are light and comfortable.  Haven't used them enough to testify to battery life yet.
            "
"18",3,"May 17, 2018","Color: Black",TRUE,"It's a love hate relationship
            ","These headphones provide a bit of a love/hate relationship. I love that the sound is pretty incredible, and ultimately has the best bass of any wireless headset I have heard to date though it lacks compared to Bose cable driven headphones. I love that the battery lasts forever - I've watched movies, talked on the phone and listened to music for an entire day and still had 80% left. I love that I can connect to two devices at once (laptop, phone).Now for the things I don't like, and the problem is I really hate these issues.  I hate that they are uncomfortable. I have rather large ears, so the cusps don't go fully around my ears and make it very uncomfortable after a short time. I typically just put up with it until my ears fall asleep, but when you pull them off it literally hurts. I hate that when on a call it has a tendency to break up the audio. The mic seems to continue picking up fine, but listening to the other person can be problematic. I hate the mic, but I didn't really buy these for calling, but just the convenience of answering a call if I am listening to music, but the mic comes across like you are in a room that echos and you sound somewhat flat, so if your intent is to use this for phone calls, I recommend looking elsewhere.So where do I stand? I think they are good headphones, and probably much better if you have smaller ears. Do I think it was worth the investment? Not for me.  I plan on looking for another set sometime very soon. If anyone has ever had Turtle Beaches (not the wireless ones, they are bad for sound quality) but the comfort of turtle beaches is a million times better than these.
            "
"19",3,"August 7, 2018","Color: Black",TRUE,"GOOD: Sound, comfort, battery life. BAD: Build quality
            ","So while I absolutely love my pair, the battery lasts a long time, they sounds great, super comfortable. I am at about the 2.5yr mark and the ear cups had to be replaced as they were disintegrating, and the headband is starting to look really worn out. I'd say past the point of ""normal"" wear. the blue rubber around the buttons and ear cups has also started to warp and is mostly pulling away from the headset now. I'm debating just cutting it off. I did replace the cups with Bose OEM replacements($25) and will probably get another 6 months or so out of the headband, but for costing $220+ I expected them to last longer. My ATH-50's have lasted me nearly 5 years ad look much better.
            "
"20",1,"June 19, 2018","Color: White",TRUE,"but worse these headphones came totally apart
            ","I purchased 3 of these Bose Headphones for Christmas for my girls, they always had been having many issues, but worse these headphones came totally apart, so I will not recommend that all
            "
"21",3,"November 24, 2018","Color: Black",TRUE,"Disappointed after short usage
            ","I ordered this after getting rave reviews from my friends and internet. I received this headphone yesterday.  Setting it up was very easy and it asked for firmware update. It took almost 1.5 hours to complete. I listened songs for an hour and after that I was unable to wear it. My ears become very warm and even after removing, it felt uneasiness for long time. I thought it could be just i am tired. So, i tried it again today morning.  Calls were having lot of disturbances and after 35 minutes usage, i am unable to wear it. I was listening in low volume and i did not expect it to become warm. RIght now, temperature is cold outside and I am not sure whether I could wear this during summer time even for a brief period. I am disappointed and i am returning this product now.
            "
"22",1,"December 18, 2018","Color: Black",TRUE,"Disappointing Sound Quality (No AAC on Mac)
            ","I really wanted to like these headphones. It took me a long time to finally make the decision to purchase these. I've had previous Bose headphone and have always admired the sound quality with all Bose products. However, these headphones have the sound quality of much cheaper headsets.I don't consider myself an audiophile at all, but the sound is terrible on my computer.From my testing and comparing, the bad sound comes primarily when streaming over Bluetooth on my Mac, which is the primary reason for purchasing these. I understand that there might be some loss of quality when using Bluetooth, but it shouldn't be noticeably different. The highs on the headphones seem to clip and distort, causing a slight static/hissing sound.After researching I've discovered that these headphones stream at a lower audio compression codec on the Mac called SBC. Instead of using the higher quality AAC coded. This for sure is why the headphone sound is subpar on the Mac.The other terrible thing is the mic quality. I could not talk on the phone using these headphones. No one could hear me at all.This is super disappointing for the price I've paid for the headphones. I have returned these headphones and will be looking for other brands now.
            "
"23",5,"April 26, 2018","Color: Black",TRUE,"4/5 very good for what they are
            ","Sound: 4/5 very good for what they are. Balanced sound. Bass isn't heavy but very much present. Vocals comes through loud and clear. Plenty of volume. I've heard no complaints from people when speaking on the phone using these headphones.Comfort: 4/5. They're circumaural so they fit around the ear (resting on the scalp/face). I have rather large ears and they manage to make it around them when positioned right. Theyre also light weight and have plenty of adjustability to fit pretty much any head.Packaging: 5/5. Case is sleek and well padded. Headphones fit snuggly inside.Features: 5/5. Minimal, but very efficient controls. Play/pause answers and ends calls along with playing and pausing music/video.  Switch the headphones on and a voice tells you what device you're connected to and how much battery life you have left. Extremely simple and useful. Also, there's a headphone port in case you felt like regressing (lol).Battery Life: 5/5 Great.Value: 5/5. My first time buying a high end bluetooth headset, but I feel like these deserve the great reviews and I sleep well at night knowing I paid $200+ for these. They work all the time and work well.Summary: These probably aren't the best headphones you can buy at this price, but I doubt there are many BLUETOOTH headphones out there that can top these. A sound purchase indeed.
            "
"24",2,"January 19, 2019","Color: Black",TRUE,"Warranty and Product Support lacking, considering cost, and untrustworthy support.
            ","First, the feature of pairing with more than one device might work, to some degree, but the problems it causes try to re-link back to primary device leaves something to be desired.  Second, the quality of the construction materials is questionable considering that at about 18 months age, with NO exposure to moisture, the banding around the headphone body  started separating, on both sides!  Third, considering the cost of these headphones, a 1 Year Warranty smacks of a lack of confidence in their product, and then the subsequent failure experienced seems to support this hypothesis.Subsequent to the failure, Customer Support was contacted, and the agent offered to exchange the headphones at a discounted price (lower than new, but still substantial $$), promising to expedite the exchange.  While I kept my part of this agreement, and they immediately charged my Credit Card, they failed to keep their end of the promise.  Subsequent conversations with the Customer Support failed to resolve the shipping issue, with nothing but lip service given, saying it was just a function of their internal policies and procedures and they couldn't do anything.  With the price of Bose products being what they are, and what now appears to be a lack of trust with their customers (basically they didn't trust that I had actually shipped the physical product back to them), I probably won't buy Bose products in the future.
            "
"25",5,"July 15, 2018","Color: Black",TRUE,"These are the best headphones/listening device i've ever purchased
            ","These are the best headphones/listening device i've ever purchased. I first bought these two years ago after having a cheaper pair of wireless headphones for a year! These offer superior sound quality and are great for calls! I run, lift, walk, and study with these headphones.They do hurt my ears a little bit, but only if I wear them like 8+ hours straight, which I have many times! I'm very petite and they headphones tend to swallow my head a bit - so keep that in mind. They are very comfortable though especially if you only wear them shorter periods of time!I would recommend cleaning the insides if you workout because sweat can buildup and damage the foam over time - but this takes a year or so of very heavy use to occur!I just bought another pair recently because I love these so much!
            "
"26",5,"January 7, 2018","Color: Black",TRUE,"These are Awesome! Not noise canceling but when music is playing ...
            ","These are Awesome! Not noise canceling but when music is playing you can't hear anything going on around you. They don't claim to be noise canceling but I notice some people asking. These are light weight and comfortable for long periods of time. I wear them at work and have them on for hours.  Quality is great. Not much base but it's pretty equal all through out.
            "
"27",5,"December 12, 2016","Color: Black",TRUE,"Excellent headphones
            ","I needed a pair of Bluetooth headphones to use with my new iPhone 7 at work.  Since I planned to wear them for a significant part of the day, comfort was a primary concern.  I find that earbuds at not comfortable so on eat or over ear headphones were what I was looking for.  They are light & the ""grip"" around my head is gentle so they don't cause undo pressure.  The padding on the headband & the earpieces were far more comfortable than any other headphone I tried (Beats included).  After using them for a couple of weeks I'm very happy with my choice.  Even with my glasses, I find them to be very comfortable.  Occasionally there's some discomfort with larger earrings but I'm usually able to readjust & find a more amenable position.The next consideration was sound dampening.  It's not super noisy but there is a significant amount of background noise (talking, printer, etc.).  Based on the type of noise (more variable than steady drone) I wasn't sure that the active noise cancelling of the Quiet Comfort model was worth the additional cost (paid $229).  These headphones do completely cover the ears which passively blocks quite a bit of sound.  Between that & the music itself, the background noise became a non-issue.Of course, what good are headphones if they don't sound good?  Unlike some others that I have tried there's no background hiss.  The sound is clear & crisp.  I've discovered some previously unnoticed nuances to my music as a result of the superior sound quality.  The balance is very pleasant.  You won't find pounding base, rather a nice mix of tones that will allow you to appreciate a broader range of instrumentals & vocals.Overall I'm very pleased with my purchase.  I couldn't ask for a better set of headphones for my needs.
            "
"28",5,"July 19, 2018","Color: Black",TRUE,"A serious audiophile compares  Wireless Bose Sounlink Vs. Sennheiser 4.5E.
            ","I recently bought the Wireless Bose Soundlink and two days later a pair of Sennheiser 4.5 E heaphones..  The reviews for both are pretty much on target, but I am very pleased to say that the Bose Soundlink gives amazingly excellent sound  for a wireless headset.  The controls are easy to use, the ear-cups are very comfortable.  In fact this headphone will stack it up against other wired Bose headphones and Sennheisers  I have purchasaed in the $300+ range.  So why buy the Sennheisers? A half price sale of $100 is hard to turn down, but the Sennheisers are uncomfortable, cumbersome controls, and the audio sound is no better than the Bose. For the extra bucks I will go with the Bose.  They do function for cellphone calls, but I will not use them driving.  To have a headset of this quality without hassling with wires is definitely worth the money. As for the Sennheisers, they seem very cheaply made, not up to German standards, and I suspect they are made in China and only have the Sennheiser name.  A shame.  I probably have a grandkid or two with a small head and small ears,  and X-mas is ony 5 months away.
            "
"29",5,"May 8, 2018","Color: Black",TRUE,"He is normally very picky and I figured he would find something wrong with them almost immediately and have to return them but he loved these! He often uses them if he wakes ...
            ","I got these as a gift for my father for Christmas. He is normally very picky and I figured he would find something wrong with them almost immediately and have to return them but he loved these! He often uses them if he wakes up in the middle of the night and wants to watch TV without waking anyone else in the house up. He said connecting the, via Bluetooth to his Samsung TV was as easy as it gets so you don't need to be very technologically advanced to be able to use them. I have tried them to see how the sound was and they are GREAT. They cancel out all background noise and sound crisp and clear.
            "
"30",1,"December 15, 2017","Color: Black",TRUE,"The upper limit of the sound isn't amazing, the headphones have difficulty connecting to my iphone ...
            ","The upper limit of the sound isn't amazing, the headphones have difficulty connecting to my iphone 6 at times (forcing me to turn them off or clear the list of remembered devices to connect properly), the buttons on the headphones malfunctioned after 7 months and Bose was no help in fixing them.  Still waiting on a replacement or repair, or even an email confirmation after contacting them twice.
            "
"31",5,"September 26, 2017","Color: Black",TRUE,"I love these!
            ","AMAZING. I Love Bose! I wear these all the time to study and listen to music/audiobooks around the house. I love that they're not noise cancelling because I can still hear my dogs barking when they need to go out, no one can sneak up on me, and I don't feel completely anti-social. However, they are pretty good at cutting out most background noise without having to raise the sound level to the highest level just to block it out. The sound quality is superb as well. Great product. I would definitely buy again.
            "
"32",5,"March 10, 2018","Color: Black",TRUE,"Bose, Investment in dependability and sound
            ","I needed bluetooth headphones that would not break down after 4-6 months, and give me great sound. I am not no audiophile, but enjoy listening to my music without wires going bad, or outside noises. These headphones does the job. I compared  Bose vs Sony, and read many of the comments. The Sony rated very high for sound, and features, but Bose had the old school reputation as dependable. I decided on the Bose for a couple of reason. They have the reputation, and a customer complained very loudly about Sony customer service, in the comment section.I truly did not want to spend that much for headphones, but after using the product for about 3 weeks, it was truly worth it. I have a graveyard of bluetooth headphones, where the wires goes bad, but the Bose fit very snugly, sound great, and the battery charge last longer than my 2 shifts of work.(work 2  jobs). Comes with a carry case, with a cable to charge, and a cable to make it a wired headset. Its expensive, by my taste, but its a great buy in the end, because they are dependable, great sounding, and should last for years, saving me money over time.Negative, can not change songs from headset.
            "
"33",5,"July 3, 2019","Color: Black",TRUE,"Finally, Bluetooth headphones that are LOUD enough
            ","I've had several pairs of headphones over the years, and my biggest complaint about most of them has been the lack of max volume.  Even if an individual volume setting is available on the headphones themselves and it set to high, that combined with the highest setting on the music source sometimes does not provide the volume I want.This was the first set of headphones that I have ever had to turn down.  The max volume when used with my Apple Watch proved to be more than enough for me.  Also, the soft cushioning around the ears is as soft as butter.I've always loved Bose products for one thing - their sound.  I've been somewhat disappointed in their hardware in the past, and DEFINITELY disappointed in their software.  Since these headphones really have no exposed software to use, and the hardware itself appears to be of high quality, this gets a five star rating from me.
            "
"34",5,"November 25, 2018","Color: Black",TRUE,"Excellent quality. These are an investment for those who use headphones often.
            ","Very light on your head. They go around an average ear without pressing; very comfortable and great for long-term use. Low-profile, yet does not press on the ears.Battery life seems to last longer than advertised when simply listening to podcasts and not using the microphone. Have yet to try the microphone function. They pair with multiple devices quickly upon powering on. I'm very happy with this product.
            "
"35",5,"July 15, 2017","Color: Black",TRUE,"These are the best and worth the price!
            ","After trying 4 different headphones, this one is worth every dollar! I started on the low end ($35) and worked my way up ($50, $130) to these ($229). I'm not a musician, but grew up in a musical family so I do appreciate good sound. To my not professionally trained ear, they all sounded just fine. For me it was a comfort issue of wanting to wear them for hours. I have a lot of writing to do and need to block out sound with instrumental usually classical music and I travel a lot and want to listen to all types of music or Bluetooth with my iPad and watch downloaded shows or movies. The best part of these headphones is the larger opening for your ear to fit into and remain pressure free for long periods of time. The others lasted about an hour or two and I had enough. I'm glad I didn't just start with these or I would not have appreciated how great they really are! Also, one set I tried had a white headband and ear pieces, and I quickly saw the potential for them looking grubby over time.
            "
"36",5,"March 1, 2019","Color: Black",TRUE,"Very pleased with this purchase
            ","I'm not any kind of ""audiophile"" or whatever, so I can't comment on if there is any weird imperfection with the sound quality. That being said, I've listened to music, watched movies, and made phone calls with these and I have no complaints about the sound quality.Comfort wise they are very comfortable, my only complaint would be that after prolonged use (hours) the padding goes a bit flat and they start to hurt a bit (but much less than other headphones I've used, maybe my head is just big). No other complaints that aren't common for over ear headphones, sometimes my ears feel a bit warm, because they are covered.Materials wise, everything seems to be well made. The frame seems sturdy, and I've dropped them a few times and had no issues.Connecting them is easy, especially with the app. I didn't download the app at first, but highly recommend it. Especially if you want to use them for your PC, but still have it connected to your phone for calls.Call quality is excellent, the mic is much better than I thought, and the people I talked to couldn't tell I was using headphones. Really impressed with the call quality.Overall a good buy, and worth the money.
            "
"37",5,"January 2, 2018","Color: Black",TRUE,"Requires break in before you get the best sound.
            ","When I first tried the SoundLink II's straight out if the box I'll admit I was a bit underwhelmed. The bass was thin and the mids and treble were a little too forward and bright for my taste.I got an idea hooked them up to my computer using the aux cord and ran pink noise through them for about 20+ hours while I was at work.After that I connected them to my phone and they completely changed. The bass is just right and everything sounds clear and detailed.Also these are THE MOST comfortable headphones I have worn to date. Wouldn't give these up for buds ever.
            "
"38",5,"October 4, 2018","Color: Black",TRUE,"Bose Soundlink II same sound as wired but without
            ","Was concerned about buying used, but had read about “Unclaimed Baggage” and took comfort with return policy.Was slightly concerned that package was not “box” but bubble pack.Was also disappointed that checkout said deliver would be about a week.None of these concerns were realized.Great product-arrived safely-and very promptly!Very very satisfied.Battery charged fully in 2hrs, is ~80% after ~3hrs of phone calls and 4hrs of music.Sound clear and crisp. Phone calls work great, callers say sound is very clear and I can speak in soft natural voice-hands free!
            "
"39",5,"November 12, 2018","Color: Black",TRUE,"Really impressed with these headphones!
            ","I love these headphones. I owned the wired pair for about 2 years prior and they are still like brand new, but I got a new phone without a wired headphone jack so I had to go wireless. These were fairly inexpensive (especially compared to my last wired pair) with the biggest drawback being non noise canceling properties. But after wearing these at work they feel and work fine, and I can’t hear anyone talking unless I really strain or they’re shouting. People keep talking about pieces on the ear peeling which has not happened to me yet, and it never happened to my old set either. I’ll update if it does happen later.
            "
